,x,y
73,82.3464355469,-51.3571281433
74,27.5344753265,-56.9646034241
75,528.020935059,-69.5908813477
76,528.020935059,-69.5908813477
77,522.540588379,-70.4443817139
78,529.307373047,-86.5792312622
79,834.758605957,-98.7578201294
80,743.230957031,-99.7900009155
81,743.230957031,-99.7900009155
82,349.688171387,-108.664100647
83,109.503448486,-120.365699768
84,574.472595215,-178.151855469
85,574.472595215,-178.151855469
86,874.024536133,-178.644851685
87,804.919250488,-179.088790894
88,859.21862793,-180.089447021
89,365.482330322,-180.742172241
90,510.385070801,-180.569671631
91,270.384429932,-186.24420166
92,300.97454834,-185.851577759
93,458.581298828,-189.442047119
94,458.581298828,-189.442047119
95,465.318572998,-189.530822754
96,468.979858398,-193.091629028
97,804.634460449,-197.71206665
98,804.634460449,-197.71206665
99,667.533813477,-204.893630981
100,667.533813477,-204.893630981
101,474.154052734,-284.317657471
102,653.994628906,-285.964599609
103,653.994628906,-285.964599609
104,652.077880859,-299.111663818
105,577.925842285,-299.310302734
106,577.925842285,-299.310302734
107,373.531829834,-302.765197754
108,373.531829834,-302.765197754
109,613.704772949,-304.783050537
110,613.704772949,-304.783050537
111,689.140258789,-304.798339844
112,689.140258789,-304.798339844
113,651.151733398,-305.130249023
114,651.151733398,-305.130249023
115,95.4794921875,-306.959503174
116,465.755981445,-307.014831543
117,194.796707153,-307.452819824
118,229.082794189,-307.705871582
119,285.911224365,-324.656616211
120,726.389831543,-325.06652832
121,686.930358887,-325.670227051
122,149.399978638,-325.811706543
123,1014.74645996,-326.454833984
124,1014.74645996,-326.454833984
125,571.719726562,-326.925720215
126,362.303924561,-327.788726807
127,173.924331665,-340.700683594
128,355.911682129,-340.364501953
129,355.911682129,-340.364501953
130,684.954467773,-343.229919434
131,529.172546387,-343.613830566
132,606.35736084,-344.059539795
133,606.35736084,-344.059539795
134,977.688293457,-352.059265137
135,977.688293457,-352.059265137
136,396.538085938,-360.597564697
137,1047.20141602,-462.412353516
138,626.548583984,-465.41897583
139,212.556945801,-468.168060303
140,131.00163269,-469.49319458
141,581.321899414,-470.940490723
142,952.819213867,-476.344573975
143,952.819213867,-476.344573975
144,532.592224121,-22.6295337677
145,68.6237258911,-64.2460784912
146,500.900543213,-80.633972168
147,1045.17810059,-86.3650436401
148,37.5453567505,-91.8546295166
149,712.822143555,-102.49230957
150,712.822143555,-102.49230957
151,682.978881836,-103.444396973
152,118.961853027,-105.552970886
153,490.35559082,-105.609580994
154,377.293182373,-109.262168884
155,405.446899414,-108.820884705
156,770.651245117,-179.133178711
157,770.651245117,-179.133178711
158,736.761230469,-180.334197998
159,703.417785645,-180.969177246
160,670.649658203,-181.864135742
161,637.737609863,-182.328979492
162,572.930603027,-184.096221924
163,540.461486816,-184.406311035
164,426.268341064,-185.005828857
165,181.892242432,-188.624160767
166,875.62701416,-197.182998657
167,875.62701416,-197.182998657
168,984.768188477,-197.06980896
169,460.851928711,-200.01864624
170,474.742584229,-202.088928223
171,323.32925415,-206.814971924
172,418.096893311,-207.695358276
173,141.209564209,-208.857345581
174,598.268493652,-216.490936279
175,692.356323242,-277.663482666
176,691.585449219,-284.699157715
177,691.585449219,-284.699157715
178,344.528106689,-288.759338379
179,344.528106689,-288.759338379
180,728.215698242,-295.214447021
181,728.215698242,-295.214447021
182,1007.98773193,-297.525970459
183,806.18359375,-304.182495117
184,806.18359375,-304.182495117
185,1009.67138672,-305.142364502
186,1009.67138672,-305.142364502
187,576.599182129,-305.164794922
188,503.075134277,-305.852996826
189,539.672729492,-305.879333496
190,161.086257935,-306.751037598
191,335.250366211,-307.161468506
192,85.762840271,-323.796203613
193,53.0342788696,-324.046295166
194,887.938598633,-325.860778809
195,887.938598633,-325.860778809
196,218.284927368,-326.733459473
197,648.256347656,-326.608184814
198,930.433532715,-326.652404785
199,972.155700684,-326.483337402
200,972.155700684,-326.483337402
201,496.544372559,-327.734039307
202,496.544372559,-327.734039307
203,647.206787109,-333.220428467
204,647.206787109,-333.220428467
205,975.267211914,-341.874969482
206,848.843444824,-355.146148682
207,16.8884143829,-461.06451416
208,496.135101318,-460.954315186
209,496.135101318,-460.954315186
210,902.540283203,-462.563995361
211,902.540283203,-462.563995361
212,808.512329102,-462.736968994
213,808.512329102,-462.736968994
214,999.600830078,-464.855377197
215,671.335632324,-465.436126709
216,150.810195923,-466.143707275
217,254.375244141,-466.712524414
218,494.389099121,-467.316894531
219,494.389099121,-467.316894531
220,450.922821045,-468.037414551
221,450.922821045,-468.037414551
222,450.922821045,-468.037414551
223,407.777679443,-468.524627686
224,1000.28582764,-469.818572998
225,1000.28582764,-469.818572998
226,670.65838623,-471.00491333
227,761.835327148,-472.605529785
228,808.656982422,-472.308959961
229,808.656982422,-472.308959961
230,855.892944336,-474.27545166
231,903.824035645,-475.830169678
232,123.637260437,-7.29390382767
233,123.637260437,-7.29390382767
234,98.2554550171,-30.3625602722
235,98.2554550171,-30.3625602722
236,520.52166748,-31.08644104
237,104.269752502,-31.5538578033
238,73.7678909302,-52.9422988892
239,528.33984375,-74.0807113647
240,34.6243782043,-80.8830718994
241,37.1243858337,-85.9626464844
242,37.1243858337,-85.9626464844
243,44.2473945618,-85.9234466553
244,37.6601028442,-91.9984970093
245,30.4671897888,-98.5321960449
246,536.993835449,-108.082893372
247,6.70571708679,-113.727600098
248,845.536071777,-147.706207275
249,851.36151123,-148.920730591
250,980.170654297,-176.84815979
251,839.1484375,-178.087081909
252,605.328063965,-181.786804199
253,605.328063965,-181.786804199
254,509.071533203,-183.974838257
255,394.021972656,-185.344436646
256,240.943771362,-185.643417358
257,468.436431885,-194.303604126
258,701.918762207,-200.352996826
259,701.918762207,-200.352996826
260,354.599273682,-207.350357056
261,805.561157227,-277.40133667
262,766.70123291,-290.62701416
263,766.334716797,-303.805541992
264,265.233398438,-305.01864624
265,222.372756958,-316.830993652
266,406.855407715,-317.985900879
267,225.182235718,-323.390258789
268,427.425994873,-323.740356445
269,439.716461182,-325.613067627
270,765.716247559,-326.348022461
271,609.430725098,-327.520050049
272,847.028625488,-330.072631836
273,765.033996582,-352.192901611
274,765.033996582,-352.192901611
275,402.661254883,-362.56237793
276,402.661254883,-362.56237793
277,716.399963379,-462.424560547
278,716.399963379,-462.424560547
279,295.949371338,-467.754852295
280,146.710906982,-470.364379883
281,155.183792114,-470.096832275
282,537.122314453,-470.049499512
283,104.752471924,-15.2277402878
284,90.6366577148,-27.2760238647
285,86.7841033936,-47.6003913879
286,62.9559288025,-53.3481254578
287,76.9977645874,-57.616519928
288,535.040222168,-72.6221694946
289,535.040222168,-72.6221694946
290,535.040222168,-72.6221694946
291,20.6508522034,-109.627845764
292,491.480651855,-129.007919312
293,491.480651855,-129.007919312
294,637.785705566,-181.303405762
295,573.459655762,-181.893814087
296,291.149597168,-207.813949585
297,385.425933838,-209.302536011
298,432.956176758,-275.124908447
299,439.929412842,-280.801818848
300,427.433624268,-296.642028809
301,196.664245605,-304.961700439
302,419.895446777,-319.308624268
303,213.364608765,-322.922485352
304,217.073120117,-328.521331787
305,250.640914917,-330.140106201
306,806.348022461,-329.422851562
307,162.209030151,-465.25177002
308,715.959106445,-470.055603027
309,93.0443191528,-5.890666008
310,117.363128662,-11.7659950256
311,117.363128662,-11.7659950256
312,356.102508545,-20.4356822968
313,1002.30194092,-20.4740333557
314,103.513290405,-22.8957424164
315,28.4401092529,-33.4078025818
316,97.7688522339,-39.0866966248
317,28.8943271637,-90.8984603882
318,961.322937012,-98.8463058472
319,845.04083252,-164.121810913
320,866.438537598,-180.636611938
321,417.535217285,-338.939849854
322,212.951156616,-465.253112793
323,594.882324219,-468.880126953
324,82.1798858643,-15.6963005066
325,67.7401733398,-28.2884101868
326,527.523620605,-38.0289268494
327,35.9907646179,-54.4467086792
328,60.4716262817,-62.0174789429
329,19.7817497253,-67.4624938965
330,43.8626098633,-76.3356018066
331,23.944562912,-94.1200485229
332,497.338989258,-110.446876526
333,459.690582275,-208.199920654
334,89.6906356812,-460.149993896
335,117.003883362,-461.437103271
336,236.866363525,-463.635559082
337,255.602676392,-464.30645752
338,595.175048828,-468.598052979
339,543.999755859,-475.827758789
340,655.2421875,-20.6742458344
341,542.768188477,-25.9177207947
342,434.0128479,-27.4562625885
343,434.0128479,-27.4562625885
344,460.008575439,-27.6240692139
345,460.008575439,-27.6240692139
346,519.360473633,-27.1542129517
347,361.887176514,-29.833896637
348,300.373260498,-32.5053291321
349,341.939788818,-102.495903015
350,341.939788818,-102.495903015
351,414.604064941,-292.207427979
352,414.604064941,-292.207427979
353,624.449523926,-466.728759766
